vm_control,total_sale,avg_sale,n_transac,n_products,n_categories,avg_qty,customer,op_center,pos_location,active_days,transac_per_day,cluster
6739,1805.25,3.080631399317406,586,32,6,1.3447098976109215,AAFES Fort Bliss,El Paso,Bldg 21224 Lobby - ,152,3.8552631578947367,0
12089,510.75,2.7608108108108107,185,30,4,1.1675675675675676,AAFES Fort Bliss,El Paso,Bldg 21210 Entrance - 21210 Bayonet Avenue,72,2.5694444444444446,0
12414,1800.25,3.1092400690846285,579,33,5,1.307426597582038,AAFES Fort Bliss,El Paso,Bldg 20145 Hallway - 20145 Kasserine Way,111,5.216216216216216,0
12478,434.75,2.3373655913978495,186,30,5,1.0591397849462365,U.S Department of Homeland Security,El Paso,US Postal Office - Remcon - 7383 Remcon Circle,121,1.537190082644628,0
12484,1330.5,3.2372262773722627,411,31,6,1.362530413625304,AAFES Fort Bliss,El Paso,Bldg 11203 East Entrance - 11115 Sergeant Sims Street,102,4.029411764705882,0
12485,1260.5,2.6151452282157677,482,30,5,1.2738589211618256,Oak Tree Hotel,El Paso,Oak tree Hotel - Hallway,158,3.050632911392405,0
12499,3557.5,3.3784425451092117,1053,32,6,1.5251661918328585,AAFES Fort Bliss,El Paso,Bldg 21166 Lobby - ,208,5.0625,0
12502,963.25,2.0067708333333334,480,27,5,1.125,University of Texas at El Paso,El Paso,UTEP - Library - Basement,158,3.037974683544304,0
12836,1544.5,2.511382113821138,615,32,5,1.1414634146341462,U.S Department of Homeland Security,El Paso,US Customs - 6070 Gateway Blvd East,204,3.014705882352941,0
12879,3765.25,3.3439165186500888,1126,32,5,1.4085257548845471,AAFES Fort Bliss,El Paso,Bldg 1004 Lobby - 1004 Chaffee Road,181,6.220994475138122,2
12881,1614.25,2.75,587,32,5,1.149914821124361,AAFES Fort Bliss,El Paso,Bldg 11176 Hallway - ,160,3.66875,0
12886,635.0,2.8863636363636362,220,32,5,1.2727272727272727,AAFES Fort Bliss,El Paso,Ft Bliss Bldg 747 Breakroom - ,60,3.6666666666666665,0
12891,1535.5,3.0226377952755907,508,31,5,1.2933070866141732,AAFES Fort Bliss,El Paso,Bldg 5794 Breakroom - ,132,3.8484848484848486,0
12894,1665.0,2.865748709122203,581,28,5,1.1858864027538727,AAFES Fort Bliss,El Paso,Bldg 11342 - 11342 Sergeant Sims Street,201,2.890547263681592,0
12897,344.25,2.295,150,25,5,1.0733333333333333,Werner Socorro,El Paso,Back Breakroom - 9231 Socorro Logistics Lane,96,1.5625,0
13349,3496.0,3.3974732750242955,1029,32,6,1.4275996112730807,AAFES Fort Bliss,El Paso,Bldg 21182 Lobby - ,185,5.562162162162162,0
13616,1071.45,2.4744803695150117,433,34,5,1.1778290993071594,TriWest Healthcare Alliance,El Paso,Triwest - Breakroom,155,2.793548387096774,0
14428,214.0,2.779220779220779,77,21,5,1.1688311688311688,AAFES Fort Bliss,El Paso,Bldg 2488 Hallway - ,36,2.138888888888889,0
14856,577.0,1.969283276450512,293,28,5,1.1843003412969284,San Elizario ISD,El Paso,Lorenzo Alarcon Elementary Lounge - 12501 Socorro Road,110,2.6636363636363636,0
14858,702.45,3.0674672489082973,229,29,5,1.240174672489083,AAFES Fort Bliss,El Paso,Bldg 1053 Breakroom - ,71,3.2253521126760565,0
14931,69.25,6.295454545454546,11,8,4,2.5454545454545454,AAFES Fort Bliss,El Paso,Bldg 2954 Back Hallway - ,11,1.0,1
14946,2097.5,3.490016638935108,601,32,5,1.464226289517471,AAFES Fort Bliss,El Paso,Bldg 21145 Hallway - ,64,9.390625,2
14991,3390.0,2.8439597315436242,1192,32,6,1.3280201342281879,C3i Solutions,El Paso,C3i - Breakroom,208,5.730769230769231,2
14992,30.25,1.7794117647058822,17,13,4,1.0,University of Texas at El Paso,El Paso,UTEP - Library - Basement,13,1.3076923076923077,1
14994,378.75,2.3820754716981134,159,22,6,1.0880503144654088,Hoy Fox Group,El Paso,Hoy Fox - Acura - Shop,100,1.59,0
20499,1365.25,3.3544226044226044,407,31,5,1.402948402948403,AAFES Fort Bliss,El Paso,Bldg 21210 Entrance - ,63,6.4603174603174605,0
